Case No.	hb (m)	qstar (W/m2)	S	T (C)	tau (N/m2)	u10 (m/s)	dfco2 (uatm)
913	73.19	85.33	35.25	27.37	0.05	7.08	43.10
914	73.19	85.33	35.25	27.37	0.05	7.08	73.37
915	73.19	85.33	35.25	27.37	0.05	7.08	103.65
916	73.19	85.33	35.25	27.37	0.10	7.08	-17.44
917	73.19	85.33	35.25	27.37	0.10	7.08	12.83
918	73.19	85.33	35.25	27.37	0.10	7.08	43.10
919	73.19	85.33	35.25	27.37	0.10	7.08	73.37
920	73.19	85.33	35.25	27.37	0.10	8.61	-17.44
921	73.19	85.33	35.25	27.37	0.10	8.61	12.83
922	73.19	85.33	36.94	27.37	0.05	5.54	12.83
923	73.19	85.33	36.94	27.37	0.05	5.54	43.10
924	73.19	85.33	36.94	27.37	0.05	7.08	12.83
925	73.19	85.33	36.94	27.37	0.05	7.08	43.10
926	73.19	85.33	36.94	27.37	0.10	7.08	-17.44
927	73.19	85.33	36.94	27.37	0.10	7.08	12.83
928	73.19	85.33	36.94	27.37	0.10	7.08	43.10
929	73.19	156.47	35.25	27.37	0.05	5.54	73.37
