Case No.	u10 (m/s)	T (C)	q* (W/m2)	tau (N/m2)	hb (m)	taut (s)	tauc (s)	Da
893	9.5	16.9	-59	0.203	72	244.8	56.8	4.3093
894	9.5	16.9	-59	0.203	113	224.0	56.8	3.9433
895	9.5	16.9	-59	0.203	155	299.7	56.8	5.2765
896	9.5	16.9	22	0.127	30	256.0	56.8	4.5073
897	9.5	16.9	103	0.127	30	264.6	56.8	4.6583
898	9.5	20.2	-465	0.127	72	266.1	41.5	6.4125
899	9.5	20.2	-465	0.203	30	231.9	41.5	5.5873
900	9.5	20.2	-465	0.203	72	236.6	41.5	5.7019
901	9.5	20.2	-465	0.203	113	227.2	41.5	5.4749
902	9.5	20.2	-384	0.127	30	260.9	41.5	6.2859
903	9.5	20.2	-384	0.127	72	267.4	41.5	6.4439
904	9.5	20.2	-384	0.127	113	259.5	41.5	6.2527
905	9.5	20.2	-384	0.203	30	230.2	41.5	5.5480
906	9.5	20.2	-384	0.203	72	254.3	41.5	6.1274
907	9.5	20.2	-384	0.203	113	234.5	41.5	5.6504
908	9.5	20.2	-384	0.203	155	231.3	41.5	5.5727
909	9.5	20.2	-303	0.127	72	258.1	41.5	6.2192
910	9.5	20.2	-303	0.127	113	258.6	41.5	6.2324
911	9.5	20.2	-303	0.203	72	236.8	41.5	5.7069
912	9.5	20.2	-303	0.203	113	236.8	41.5	5.7069
913	9.5	20.2	-303	0.203	155	227.8	41.5	5.4891
914	9.5	20.2	-222	0.127	72	254.0	41.5	6.1208
915	9.5	20.2	-222	0.127	113	249.0	41.5	5.9995
916	9.5	20.2	-222	0.203	30	232.6	41.5	5.6038
917	9.5	20.2	-222	0.203	72	260.7	41.5	6.2814
918	9.5	20.2	-222	0.203	113	232.1	41.5	5.5927
919	9.5	20.2	-141	0.127	72	252.5	41.5	6.0833
920	9.5	20.2	-141	0.127	113	293.2	41.5	7.0655
921	9.5	20.2	-141	0.127	155	272.7	41.5	6.5706
922	9.5	20.2	-141	0.203	30	241.5	41.5	5.8199
923	9.5	20.2	-141	0.203	72	236.1	41.5	5.6893
924	9.5	20.2	-141	0.203	113	246.2	41.5	5.9331
925	9.5	20.2	-141	0.203	155	246.3	41.5	5.9341
926	9.5	20.2	-59	0.127	72	260.2	41.5	6.2706
927	9.5	20.2	-59	0.127	113	251.7	41.5	6.0656
928	9.5	20.2	-59	0.203	72	239.1	41.5	5.7606
929	9.5	20.2	-59	0.203	113	235.1	41.5	5.6653
930	9.5	20.2	22	0.127	30	258.2	41.5	6.2228
931	9.5	20.2	103	0.127	30	248.5	41.5	5.9883
932	9.5	23.4	-465	0.203	30	239.9	30.8	7.7901
933	9.5	23.4	-465	0.203	72	228.0	30.8	7.4034
934	9.5	23.4	-384	0.127	30	260.0	30.8	8.4405
935	9.5	23.4	-384	0.127	72	261.1	30.8	8.4758
936	9.5	23.4	-384	0.203	30	231.3	30.8	7.5103
937	9.5	23.4	-384	0.203	72	235.0	30.8	7.6307
938	9.5	23.4	-303	0.127	72	256.9	30.8	8.3405
939	9.5	23.4	-222	0.127	72	253.4	30.8	8.2268
940	9.5	23.4	-222	0.203	30	238.1	30.8	7.7314
941	9.5	23.4	-141	0.127	30	273.9	30.8	8.8923
942	9.5	23.4	-141	0.127	72	253.1	30.8	8.2170
943	9.5	23.4	-141	0.127	113	247.7	30.8	8.0409
944	9.5	23.4	-141	0.203	30	229.8	30.8	7.4612
945	9.5	23.4	-59	0.127	30	252.6	30.8	8.1998
946	9.5	23.4	-59	0.127	72	267.5	30.8	8.6861
947	9.5	23.4	-59	0.203	30	256.1	30.8	8.3150
948	9.5	23.4	22	0.127	30	258.3	30.8	8.3855
949	9.5	23.4	22	0.127	72	261.4	30.8	8.4865
950	9.5	23.4	22	0.203	30	249.2	30.8	8.0900
951	9.5	23.4	103	0.127	30	252.9	30.8	8.2102
952	9.5	23.4	103	0.203	30	245.1	30.8	7.9569
953	9.5	26.7	-141	0.127	30	253.4	23.5	10.7821
954	9.5	26.7	-59	0.127	30	255.1	23.5	10.8544
955	9.5	26.7	-59	0.127	72	254.5	23.5	10.8295
956	9.5	26.7	-59	0.203	30	242.8	23.5	10.3311
957	9.5	26.7	-59	0.203	72	239.8	23.5	10.2026
958	9.5	26.7	-59	0.279	30	211.2	23.5	8.9883
959	9.5	26.7	22	0.127	30	255.6	23.5	10.8770
960	9.5	26.7	22	0.127	72	255.3	23.5	10.8624
961	9.5	26.7	22	0.203	30	235.7	23.5	10.0290
962	9.5	26.7	22	0.203	72	233.5	23.5	9.9345
963	9.5	26.7	103	0.127	30	248.5	23.5	10.5729
964	9.5	26.7	103	0.127	72	254.2	23.5	10.8171
965	9.5	26.7	103	0.203	30	271.3	23.5	11.5444
966	9.5	26.7	103	0.203	72	250.8	23.5	10.6713
967	9.5	30.0	22	0.127	30	252.2	18.4	13.7085
968	9.5	30.0	22	0.127	72	249.4	18.4	13.5517
969	9.5	30.0	22	0.203	30	244.3	18.4	13.2774
970	9.5	30.0	103	0.127	30	255.5	18.4	13.8884
971	10.7	0.5	-384	0.279	196	194.6	482	0.4037
972	10.7	0.5	-384	0.279	237	198.3	482	0.4114
973	10.7	0.5	-303	0.203	113	211.7	482	0.4393
974	10.7	0.5	-303	0.203	196	213.8	482	0.4435
975	10.7	0.5	-303	0.203	237	207.1	482	0.4297
976	10.7	0.5	-303	0.279	113	208.6	482	0.4328
977	10.7	0.5	-303	0.279	196	229.8	482	0.4768
978	10.7	0.5	-303	0.279	237	211.5	482	0.4388
979	10.7	0.5	-222	0.203	72	213.3	482	0.4424
980	10.7	0.5	-222	0.203	113	219.4	482	0.4553
981	10.7	0.5	-222	0.203	196	211.9	482	0.4395
982	10.7	0.5	-222	0.203	237	208.1	482	0.4318
983	10.7	0.5	-222	0.279	72	259.5	482	0.5385
984	10.7	0.5	-222	0.279	113	221.2	482	0.4588
985	10.7	0.5	-222	0.279	237	211.0	482	0.4378
986	10.7	0.5	-222	0.279	279	191.2	482	0.3966
987	10.7	0.5	-141	0.203	30	211.2	482	0.4382
988	10.7	0.5	-141	0.203	72	244.5	482	0.5072
989	10.7	0.5	-141	0.203	113	225.7	482	0.4682
990	10.7	0.5	-141	0.203	155	233.1	482	0.4836
991	10.7	0.5	-141	0.203	196	223.8	482	0.4643
992	10.7	0.5	-141	0.279	72	227.4	482	0.4717
993	10.7	0.5	-141	0.279	113	256.6	482	0.5324
994	10.7	0.5	-141	0.279	155	230.1	482	0.4775
995	10.7	0.5	-141	0.279	196	195.2	482	0.4051
996	10.7	0.5	-141	0.279	279	196.3	482	0.4073
997	10.7	0.5	-141	0.356	72	217.3	482	0.4508
998	10.7	0.5	-141	0.356	113	224.0	482	0.4647
999	10.7	0.5	-141	0.356	196	190.1	482	0.3944
1000	10.7	0.5	-141	0.356	279	853.8	482	1.7713
1001	10.7	0.5	-141	0.584	72	190.8	482	0.3959
1002	10.7	0.5	-141	0.660	72	197.7	482	0.4102
1003	10.7	0.5	-59	0.203	30	229.6	482	0.4763
1004	10.7	0.5	-59	0.203	72	233.5	482	0.4845
1005	10.7	0.5	-59	0.203	113	251.7	482	0.5223
1006	10.7	0.5	-59	0.203	155	241.2	482	0.5004
1007	10.7	0.5	-59	0.203	196	202.6	482	0.4204
1008	10.7	0.5	-59	0.203	237	215.2	482	0.4465
1009	10.7	0.5	-59	0.279	30	208.3	482	0.4322
1010	10.7	0.5	-59	0.279	72	231.8	482	0.4809
1011	10.7	0.5	-59	0.279	113	222.9	482	0.4625
1012	10.7	0.5	-59	0.279	155	224.2	482	0.4652
1013	10.7	0.5	-59	0.279	196	1068.5	482	2.2169
1014	10.7	0.5	-59	0.356	30	237.2	482	0.4922
1015	10.7	0.5	-59	0.356	72	249.6	482	0.5178
1016	10.7	0.5	-59	0.356	113	217.9	482	0.4520
1017	10.7	3.7	-303	0.279	237	203.5	299.4	0.6796
1018	10.7	3.7	-222	0.203	30	218.0	299.4	0.7282
1019	10.7	3.7	-222	0.203	72	216.6	299.4	0.7233
1020	10.7	3.7	-222	0.203	113	205.4	299.4	0.6860
1021	10.7	3.7	-222	0.203	155	218.9	299.4	0.7310
1022	10.7	3.7	-222	0.279	113	233.2	299.4	0.7789
1023	10.7	3.7	-222	0.279	196	597.6	299.4	1.9960
1024	10.7	3.7	-222	0.279	237	233.8	299.4	0.7810
1025	10.7	3.7	-222	0.279	279	208.7	299.4	0.6971
1026	10.7	3.7	-222	0.279	320	201.0	299.4	0.6713
1027	10.7	3.7	-222	0.356	155	231.9	299.4	0.7746
1028	10.7	3.7	-222	0.356	196	201.6	299.4	0.6734
1029	10.7	3.7	-222	0.356	237	191.7	299.4	0.6403
1030	10.7	3.7	-222	0.356	279	202.0	299.4	0.6746
1031	10.7	3.7	-141	0.203	30	209.6	299.4	0.7000
1032	10.7	3.7	-141	0.203	72	260.7	299.4	0.8709
1033	10.7	3.7	-141	0.203	113	246.3	299.4	0.8225
1034	10.7	3.7	-141	0.203	155	229.6	299.4	0.7669
1035	10.7	3.7	-141	0.203	196	206.1	299.4	0.6885
1036	10.7	3.7	-141	0.203	237	212.9	299.4	0.7112
1037	10.7	3.7	-141	0.203	279	211.7	299.4	0.7072
1038	10.7	3.7	-141	0.279	30	206.1	299.4	0.6884
1039	10.7	3.7	-141	0.279	72	213.8	299.4	0.7139
1040	10.7	3.7	-141	0.279	113	211.3	299.4	0.7057
1041	10.7	3.7	-141	0.279	155	234.6	299.4	0.7837
1042	10.7	3.7	-141	0.279	196	197.6	299.4	0.6600
1043	10.7	3.7	-141	0.279	237	297.5	299.4	0.9937
1044	10.7	3.7	-141	0.356	196	310.5	299.4	1.0371
1045	10.7	3.7	-141	0.356	237	195.0	299.4	0.6512
1046	10.7	3.7	-141	0.356	279	213.7	299.4	0.7138
1047	10.7	3.7	-59	0.203	30	213.6	299.4	0.7135
1048	10.7	3.7	-59	0.203	72	264.2	299.4	0.8824
1049	10.7	3.7	-59	0.203	113	234.8	299.4	0.7842
1050	10.7	3.7	-59	0.203	155	231.8	299.4	0.7742
1051	10.7	3.7	-59	0.203	196	207.6	299.4	0.6933
1052	10.7	3.7	-59	0.203	237	223.8	299.4	0.7474
1053	10.7	3.7	-59	0.203	279	346.2	299.4	1.1564
1054	10.7	3.7	-59	0.203	320	205.4	299.4	0.6859
1055	10.7	3.7	-59	0.203	362	204.8	299.4	0.6839
1056	10.7	3.7	-59	0.203	403	207.5	299.4	0.6932
1057	10.7	3.7	-59	0.279	30	237.3	299.4	0.7926
1058	10.7	3.7	-59	0.279	72	226.7	299.4	0.7572
1059	10.7	3.7	-59	0.279	113	223.9	299.4	0.7479
1060	10.7	3.7	-59	0.279	155	255.9	299.4	0.8546
1061	10.7	3.7	-59	0.279	196	355.2	299.4	1.1863
1062	10.7	3.7	-59	0.279	237	197.1	299.4	0.6584
1063	10.7	3.7	-59	0.279	279	494.5	299.4	1.6516
1064	10.7	3.7	-59	0.279	320	200.5	299.4	0.6695
1065	10.7	3.7	-59	0.356	113	285.8	299.4	0.9547
1066	10.7	3.7	-59	0.356	155	227.5	299.4	0.7599
1067	10.7	3.7	22	0.203	113	218.7	299.4	0.7304
1068	10.7	3.7	22	0.203	155	238.1	299.4	0.7952
1069	10.7	3.7	22	0.279	113	235.1	299.4	0.7852
1070	10.7	3.7	22	0.279	155	257.3	299.4	0.8594
1071	10.7	3.7	103	0.203	30	228.5	299.4	0.7633
1072	10.7	3.7	103	0.203	72	248.9	299.4	0.8312
1073	10.7	3.7	103	0.279	72	231.8	299.4	0.7744
1074	10.7	3.7	184	0.127	72	250.5	299.4	0.8368
1075	10.7	3.7	184	0.203	30	222.0	299.4	0.7414
1076	10.7	3.7	184	0.203	72	343.3	299.4	1.1465
1077	10.7	7.0	-303	0.279	72	220.5	188.4	1.1703
1078	10.7	7.0	-303	0.279	113	237.7	188.4	1.2617
1079	10.7	7.0	-303	0.356	113	199.5	188.4	1.0587
1080	10.7	7.0	-222	0.203	30	216.8	188.4	1.1508
1081	10.7	7.0	-222	0.203	113	204.5	188.4	1.0854
1082	10.7	7.0	-222	0.203	155	234.4	188.4	1.2443
1083	10.7	7.0	-222	0.203	196	221.6	188.4	1.1760
1084	10.7	7.0	-222	0.203	237	208.1	188.4	1.1048
1085	10.7	7.0	-222	0.279	72	214.8	188.4	1.1400
1086	10.7	7.0	-222	0.279	113	211.3	188.4	1.1216
1087	10.7	7.0	-222	0.279	155	216.2	188.4	1.1473
1088	10.7	7.0	-222	0.279	196	203.5	188.4	1.0799
1089	10.7	7.0	-222	0.279	237	198.1	188.4	1.0516
1090	10.7	7.0	-222	0.279	279	202.3	188.4	1.0736
1091	10.7	7.0	-222	0.279	320	196.4	188.4	1.0425
1092	10.7	7.0	-222	0.279	362	202.9	188.4	1.0772
1093	10.7	7.0	-222	0.279	403	250.0	188.4	1.3268
1094	10.7	7.0	-222	0.356	196	197.5	188.4	1.0481
1095	10.7	7.0	-222	0.356	237	189.9	188.4	1.0080
1096	10.7	7.0	-222	0.356	279	398.7	188.4	2.1164
1097	10.7	7.0	-222	0.356	320	372.4	188.4	1.9766
1098	10.7	7.0	-222	0.356	362	417.5	188.4	2.2160
1099	10.7	7.0	-141	0.203	72	244.3	188.4	1.2966
1100	10.7	7.0	-141	0.203	113	244.4	188.4	1.2972
1101	10.7	7.0	-141	0.203	155	229.1	188.4	1.2161
1102	10.7	7.0	-141	0.203	196	210.7	188.4	1.1186
1103	10.7	7.0	-141	0.203	237	206.9	188.4	1.0983
1104	10.7	7.0	-141	0.203	279	201.8	188.4	1.0713
1105	10.7	7.0	-141	0.279	72	232.0	188.4	1.2316
1106	10.7	7.0	-141	0.279	113	219.1	188.4	1.1630
1107	10.7	7.0	-141	0.279	155	195.4	188.4	1.0373
1108	10.7	7.0	-141	0.279	196	203.3	188.4	1.0793
1109	10.7	7.0	-141	0.279	237	197.2	188.4	1.0466
1110	10.7	7.0	-141	0.279	279	317.5	188.4	1.6851
1111	10.7	7.0	-141	0.279	320	329.1	188.4	1.7466
1112	10.7	7.0	-141	0.279	362	194.2	188.4	1.0308
1113	10.7	7.0	-141	0.356	113	229.6	188.4	1.2187
1114	10.7	7.0	-141	0.356	155	218.9	188.4	1.1619
1115	10.7	7.0	-141	0.356	196	260.5	188.4	1.3828
1116	10.7	7.0	-141	0.356	237	191.7	188.4	1.0176
1117	10.7	7.0	-59	0.203	72	226.3	188.4	1.2014
1118	10.7	7.0	-59	0.203	113	219.3	188.4	1.1639
1119	10.7	7.0	-59	0.203	155	230.2	188.4	1.2218
1120	10.7	7.0	-59	0.203	196	208.6	188.4	1.1071
1121	10.7	7.0	-59	0.203	237	205.4	188.4	1.0900
1122	10.7	7.0	-59	0.203	279	208.9	188.4	1.1089
1123	10.7	7.0	-59	0.203	320	209.4	188.4	1.1113
1124	10.7	7.0	-59	0.203	362	207.0	188.4	1.0988
1125	10.7	7.0	-59	0.203	403	206.6	188.4	1.0966
1126	10.7	7.0	-59	0.279	72	289.7	188.4	1.5375
1127	10.7	7.0	-59	0.279	113	258.1	188.4	1.3701
1128	10.7	7.0	-59	0.279	155	223.9	188.4	1.1884
1129	10.7	7.0	-59	0.279	196	193.9	188.4	1.0290
1130	10.7	7.0	-59	0.279	237	202.7	188.4	1.0758
1131	10.7	7.0	-59	0.279	279	449.7	188.4	2.3870
1132	10.7	7.0	-59	0.279	320	209.4	188.4	1.1113
1133	10.7	7.0	-59	0.279	362	210.0	188.4	1.1145
1134	10.7	7.0	-59	0.279	403	249.0	188.4	1.3218
1135	10.7	7.0	22	0.203	155	315.9	188.4	1.6769
1136	10.7	7.0	22	0.279	155	256.7	188.4	1.3625
1137	10.7	7.0	103	0.203	30	211.1	188.4	1.1207
1138	10.7	7.0	103	0.203	72	239.6	188.4	1.2717
1139	10.7	7.0	103	0.203	113	237.5	188.4	1.2606
1140	10.7	7.0	103	0.279	30	846.1	188.4	4.4908
1141	10.7	7.0	103	0.279	72	276.7	188.4	1.4684
1142	10.7	7.0	184	0.203	72	327.0	188.4	1.7356
1143	10.7	10.3	-384	0.279	113	201.9	122.8	1.6438
1144	10.7	10.3	-303	0.279	113	227.8	122.8	1.8549
1145	10.7	10.3	-222	0.203	113	226.7	122.8	1.8461
1146	10.7	10.3	-222	0.279	72	211.0	122.8	1.7183
1147	10.7	10.3	-222	0.279	155	225.3	122.8	1.8345
1148	10.7	10.3	-222	0.279	320	248.7	122.8	2.0252
1149	10.7	10.3	-222	0.279	362	270.0	122.8	2.1991
1150	10.7	10.3	-222	0.279	403	235.1	122.8	1.9146
1151	10.7	10.3	-222	0.356	237	193.0	122.8	1.5720
1152	10.7	10.3	-222	0.356	279	203.1	122.8	1.6542
1153	10.7	10.3	-222	0.356	320	189.5	122.8	1.5434
1154	10.7	10.3	-222	0.356	362	267.5	122.8	2.1783
1155	10.7	10.3	-141	0.203	72	252.6	122.8	2.0569
1156	10.7	10.3	-141	0.203	113	261.4	122.8	2.1291
1157	10.7	10.3	-141	0.203	155	261.9	122.8	2.1326
1158	10.7	10.3	-141	0.203	196	209.4	122.8	1.7050
1159	10.7	10.3	-141	0.203	237	203.9	122.8	1.6607
1160	10.7	10.3	-141	0.203	279	214.3	122.8	1.7455
1161	10.7	10.3	-141	0.203	320	206.0	122.8	1.6773
1162	10.7	10.3	-141	0.203	362	210.5	122.8	1.7144
1163	10.7	10.3	-141	0.279	72	202.1	122.8	1.6458
1164	10.7	10.3	-141	0.279	113	223.3	122.8	1.8185
1165	10.7	10.3	-141	0.279	155	269.2	122.8	2.1922
1166	10.7	10.3	-141	0.279	196	206.4	122.8	1.6807
1167	10.7	10.3	-141	0.279	237	191.4	122.8	1.5585
1168	10.7	10.3	-141	0.279	279	198.2	122.8	1.6138
1169	10.7	10.3	-141	0.279	320	198.0	122.8	1.6122
1170	10.7	10.3	-141	0.279	362	320.2	122.8	2.6078
1171	10.7	10.3	-141	0.279	403	599.1	122.8	4.8786
1172	10.7	10.3	-141	0.356	113	202.7	122.8	1.6506
1173	10.7	10.3	-141	0.356	155	242.5	122.8	1.9744
1174	10.7	10.3	-141	0.356	196	194.8	122.8	1.5863
1175	10.7	10.3	-141	0.356	237	228.8	122.8	1.8633
1176	10.7	10.3	-59	0.203	30	211.5	122.8	1.7222
1177	10.7	10.3	-59	0.203	72	245.7	122.8	2.0009
1178	10.7	10.3	-59	0.203	113	213.7	122.8	1.7404
1179	10.7	10.3	-59	0.203	155	224.1	122.8	1.8249
1180	10.7	10.3	-59	0.203	196	213.6	122.8	1.7394
1181	10.7	10.3	-59	0.203	237	208.7	122.8	1.6998
1182	10.7	10.3	-59	0.203	279	206.3	122.8	1.6800
1183	10.7	10.3	-59	0.203	320	206.9	122.8	1.6849
1184	10.7	10.3	-59	0.203	362	212.5	122.8	1.7303
1185	10.7	10.3	-59	0.279	113	239.7	122.8	1.9521
1186	10.7	10.3	-59	0.279	155	254.4	122.8	2.0716
1187	10.7	10.3	-59	0.279	196	203.2	122.8	1.6544
1188	10.7	10.3	-59	0.279	237	217.1	122.8	1.7680
1189	10.7	10.3	-59	0.279	279	197.0	122.8	1.6041
1190	10.7	10.3	-59	0.279	320	405.1	122.8	3.2988
1191	10.7	10.3	-59	0.279	362	208.1	122.8	1.6949
1192	10.7	10.3	103	0.203	72	231.6	122.8	1.8861
1193	10.7	10.3	103	0.203	113	292.3	122.8	2.3803
1194	10.7	10.3	103	0.279	72	271.2	122.8	2.2085
1195	10.7	10.3	184	0.203	72	345.0	122.8	2.8092
1196	10.7	10.3	184	0.203	113	259.4	122.8	2.1124
1197	10.7	13.6	-465	0.279	113	210.5	82.8	2.5426
1198	10.7	13.6	-465	0.356	113	191.9	82.8	2.3172
1199	10.7	13.6	-384	0.203	113	191.9	82.8	2.3172
1200	10.7	13.6	-384	0.279	113	195.7	82.8	2.3632
1201	10.7	13.6	-384	0.356	113	265.5	82.8	3.2070
1202	10.7	13.6	-303	0.203	30	213.8	82.8	2.5821
1203	10.7	13.6	-303	0.203	72	235.9	82.8	2.8486
1204	10.7	13.6	-303	0.203	113	208.9	82.8	2.5228
1205	10.7	13.6	-222	0.203	113	231.3	82.8	2.7936
1206	10.7	13.6	-222	0.203	155	223.8	82.8	2.7024
1207	10.7	13.6	-222	0.279	72	218.5	82.8	2.6384
1208	10.7	13.6	-222	0.279	113	208.9	82.8	2.5230
1209	10.7	13.6	-222	0.279	155	233.0	82.8	2.8135
1210	10.7	13.6	-222	0.279	196	196.2	82.8	2.3692
1211	10.7	13.6	-222	0.279	237	198.5	82.8	2.3968
1212	10.7	13.6	-222	0.356	113	217.4	82.8	2.6257
1213	10.7	13.6	-222	0.356	155	202.7	82.8	2.4486
1214	10.7	13.6	-222	0.356	196	614.8	82.8	7.4251
1215	10.7	13.6	-141	0.203	72	227.0	82.8	2.7415
1216	10.7	13.6	-141	0.203	113	227.1	82.8	2.7431
1217	10.7	13.6	-141	0.203	155	249.7	82.8	3.0163
1218	10.7	13.6	-141	0.203	196	209.9	82.8	2.5354
1219	10.7	13.6	-141	0.203	237	273.8	82.8	3.3063
1220	10.7	13.6	-141	0.203	279	203.8	82.8	2.4610
1221	10.7	13.6	-141	0.279	113	247.9	82.8	2.9936
1222	10.7	13.6	-141	0.279	155	249.4	82.8	3.0125
1223	10.7	13.6	-141	0.279	196	287.0	82.8	3.4665
1224	10.7	13.6	-141	0.279	237	308.7	82.8	3.7284
1225	10.7	13.6	-141	0.279	279	218.2	82.8	2.6356
1226	10.7	13.6	-141	0.356	155	206.6	82.8	2.4949
1227	10.7	13.6	-141	0.356	237	229.0	82.8	2.7663
1228	10.7	13.6	-141	0.356	279	206.8	82.8	2.4981
1229	10.7	13.6	-59	0.127	113	251.9	82.8	3.0421
1230	10.7	13.6	-59	0.203	72	223.4	82.8	2.6979
1231	10.7	13.6	-59	0.203	113	272.4	82.8	3.2902
1232	10.7	13.6	-59	0.203	155	234.3	82.8	2.8292
1233	10.7	13.6	-59	0.203	196	214.7	82.8	2.5928
1234	10.7	13.6	-59	0.203	237	207.0	82.8	2.5003
1235	10.7	13.6	-59	0.279	113	283.5	82.8	3.4237
1236	10.7	13.6	-59	0.279	155	267.2	82.8	3.2269
1237	10.7	13.6	-59	0.279	196	915.0	82.8	11.0513
1238	10.7	13.6	103	0.203	72	293.5	82.8	3.5448
1239	10.7	16.9	-546	0.279	113	210.6	56.8	3.7071
1240	10.7	16.9	-465	0.203	72	225.4	56.8	3.9688
1241	10.7	16.9	-465	0.279	113	219.8	56.8	3.8705
1242	10.7	16.9	-384	0.203	72	223.0	56.8	3.9260
1243	10.7	16.9	-384	0.279	113	221.9	56.8	3.9062
1244	10.7	16.9	-384	0.279	155	209.4	56.8	3.6872
1245	10.7	16.9	-303	0.203	72	214.7	56.8	3.7804
1246	10.7	16.9	-303	0.279	72	251.2	56.8	4.4229
1247	10.7	16.9	-303	0.279	113	200.6	56.8	3.5314
1248	10.7	16.9	-222	0.203	72	233.9	56.8	4.1175
1249	10.7	16.9	-222	0.203	113	258.7	56.8	4.5550
1250	10.7	16.9	-222	0.279	72	229.8	56.8	4.0464
1251	10.7	16.9	-222	0.279	113	210.8	56.8	3.7114
1252	10.7	16.9	-222	0.279	155	222.4	56.8	3.9148
1253	10.7	16.9	-141	0.127	113	232.8	56.8	4.0978
1254	10.7	16.9	-141	0.203	72	224.5	56.8	3.9528
1255	10.7	16.9	-141	0.203	113	250.0	56.8	4.4011
1256	10.7	16.9	-141	0.203	155	272.6	56.8	4.7990
1257	10.7	16.9	-141	0.279	113	230.7	56.8	4.0616
1258	10.7	16.9	-141	0.279	155	247.5	56.8	4.3566
1259	10.7	16.9	-59	0.127	113	249.4	56.8	4.3906
1260	10.7	16.9	-59	0.203	72	241.9	56.8	4.2597
1261	10.7	16.9	-59	0.203	113	211.4	56.8	3.7216
1262	10.7	20.2	-546	0.203	113	215.6	41.5	5.1947
1263	10.7	20.2	-546	0.279	72	204.7	41.5	4.9320
1264	10.7	20.2	-546	0.279	113	209.2	41.5	5.0415
1265	10.7	20.2	-465	0.203	72	222.5	41.5	5.3608
1266	10.7	20.2	-465	0.203	113	208.4	41.5	5.0225
1267	10.7	20.2	-465	0.279	113	211.4	41.5	5.0951
1268	10.7	20.2	-465	0.279	155	216.6	41.5	5.2204
1269	10.7	20.2	-384	0.203	155	224.6	41.5	5.4130
1270	10.7	20.2	-384	0.279	113	207.9	41.5	5.0103
1271	10.7	20.2	-384	0.279	155	203.3	41.5	4.8981
1272	10.7	20.2	-303	0.203	113	216.1	41.5	5.2063
1273	10.7	20.2	-303	0.203	155	227.6	41.5	5.4839
1274	10.7	20.2	-303	0.279	72	205.1	41.5	4.9416
1275	10.7	20.2	-303	0.279	113	206.5	41.5	4.9758
1276	10.7	20.2	-222	0.203	72	229.0	41.5	5.5180
1277	10.7	20.2	-222	0.203	113	231.0	41.5	5.5674
1278	10.7	20.2	-222	0.203	155	219.2	41.5	5.2822
1279	10.7	20.2	-222	0.279	72	224.6	41.5	5.4130
1280	10.7	20.2	-141	0.127	113	234.7	41.5	5.6544
1281	10.7	20.2	-141	0.203	72	225.9	41.5	5.4439
1282	10.7	20.2	-141	0.203	113	221.5	41.5	5.3378
1283	10.7	20.2	-141	0.203	155	233.1	41.5	5.6160
1284	10.7	23.4	-465	0.203	72	230.9	30.8	7.4972
1285	10.7	23.4	103	0.279	30	207.5	30.8	6.7361
1286	10.7	23.4	103	0.279	72	273.0	30.8	8.8635
1287	10.7	26.7	-59	0.203	30	222.1	23.5	9.4526
1288	10.7	26.7	-59	0.279	30	325.6	23.5	13.8556
1289	10.7	26.7	22	0.203	30	242.3	23.5	10.3087
1290	10.7	26.7	22	0.203	72	246.5	23.5	10.4912
1291	10.7	26.7	103	0.203	30	215.5	23.5	9.1688
1292	10.7	26.7	103	0.203	72	225.9	23.5	9.6117
1293	10.7	26.7	103	0.279	72	261.9	23.5	11.1434
1294	11.9	0.5	-222	0.279	72	225.8	482	0.4685
1295	11.9	0.5	-222	0.279	113	223.4	482	0.4635
1296	11.9	0.5	-222	0.356	113	192.8	482	0.4000
1297	11.9	0.5	-141	0.279	72	212.7	482	0.4413
1298	11.9	0.5	-141	0.279	113	201.5	482	0.4181
1299	11.9	0.5	-141	0.279	155	250.8	482	0.5203
1300	11.9	0.5	-141	0.279	196	337.7	482	0.7006
1301	11.9	0.5	-141	0.279	237	188.4	482	0.3910
1302	11.9	0.5	-141	0.356	113	249.0	482	0.5166
1303	11.9	0.5	-59	0.203	72	219.7	482	0.4558
1304	11.9	0.5	-59	0.203	113	236.8	482	0.4913
1305	11.9	0.5	-59	0.279	72	214.5	482	0.4450
1306	11.9	0.5	-59	0.279	113	229.9	482	0.4769
1307	11.9	0.5	-59	0.279	155	210.0	482	0.4358
1308	11.9	0.5	-59	0.279	196	181.7	482	0.3770
1309	11.9	0.5	-59	0.356	72	208.1	482	0.4317
1310	11.9	0.5	-59	0.356	113	236.4	482	0.4904
1311	11.9	0.5	-59	0.356	155	215.6	482	0.4472
1312	11.9	0.5	-59	0.356	196	176.2	482	0.3657
1313	11.9	3.7	-303	0.279	237	180.8	299.4	0.6039
1314	11.9	3.7	-303	0.279	279	180.5	299.4	0.6030
1315	11.9	3.7	-303	0.279	320	218.0	299.4	0.7283
1316	11.9	3.7	-222	0.279	155	211.7	299.4	0.7069
1317	11.9	3.7	-222	0.279	196	193.1	299.4	0.6450
1318	11.9	3.7	-222	0.279	237	182.1	299.4	0.6082
1319	11.9	3.7	-222	0.279	279	186.2	299.4	0.6218
1320	11.9	3.7	-222	0.279	320	211.1	299.4	0.7052
1321	11.9	3.7	-222	0.356	155	276.2	299.4	0.9226
1322	11.9	3.7	-222	0.356	196	191.4	299.4	0.6391
1323	11.9	3.7	-222	0.356	279	807.9	299.4	2.6982
